Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
97,Pat Connaughton\connapa01,SG,26,MIL,23,442,13.8,.522,.617,.150,5.6,15.5,10.8,13.5,1.3,2.5,6.6,14.4,,0.6,0.7,1.3,.142,,0.4,1.5,1.9,0.4
98,Quinn Cook\cookqu01,PG,25,GSW,28,483,14.0,.577,.429,.076,1.9,13.2,7.8,16.1,1.1,0.4,10.9,20.5,,0.6,0.3,0.9,.091,,0.5,-2.4,-1.9,0.0
99,Robert Covington\covinro01,SF,28,TOT,28,950,12.7,.576,.622,.233,1.9,15.1,8.6,4.4,3.0,3.2,11.4,15.2,,0.5,1.4,1.9,.094,,-0.2,2.3,2.0,0.9
99,Robert Covington\covinro01,SF,28,PHI,13,440,11.2,.578,.658,.197,1.7,14.2,8.1,4.4,2.6,4.1,14.8,14.3,,0.0,0.7,0.7,.077,,-1.1,2.5,1.4,0.3
99,Robert Covington\covinro01,SF,28,MIN,15,510,14.0,.574,.595,.259,2.1,16.0,9.0,4.4,3.3,2.5,8.8,15.9,,0.5,0.7,1.1,.108,,0.5,2.1,2.6,0.6
100,Allen Crabbe\crabbal01,SG,26,BRK,28,732,7.6,.501,.677,.153,1.9,12.8,7.2,5.8,1.1,0.9,10.8,17.3,,-0.2,0.4,0.2,.015,,-1.9,-1.3,-3.2,-0.2
101,Torrey Craig\craigto01,SF,28,DEN,25,479,7.4,.476,.488,.116,7.3,12.0,9.6,5.2,1.1,2.1,13.6,13.2,,-0.1,0.6,0.5,.049,,-2.4,0.5,-1.9,0.0
102,Jamal Crawford\crawfja01,SG,38,PHO,27,465,9.9,.479,.457,.266,0.7,6.8,3.7,28.4,1.1,0.7,16.8,21.9,,-0.3,0.1,-0.2,-0.022,,-3.1,-4.1,-7.2,-0.6
103,Jae Crowder\crowdja01,SF,28,UTA,31,859,12.8,.547,.626,.288,2.9,16.3,9.6,9.2,1.2,1.3,8.1,18.7,,0.7,1.0,1.7,.097,,0.3,0.0,0.3,0.5
104,Dante Cunningham\cunnida01,PF,31,SAS,30,647,10.6,.603,.467,.095,5.8,17.0,11.3,6.9,1.5,1.5,12.8,8.5,,0.8,0.6,1.3,.098,,0.0,1.2,1.2,0.5
